Date,Close/Last,Volume,Open,High,Low,Day
03/16/2021,9.12,754327,10.40,10.64,8.88,136
03/17/2021,10.40,791959,10.81,11.11,10.00,137
03/18/2021,10.40,1096450,10.00,10.74,9.26,138
03/19/2021,12.20,705118,12.00,12.20,11.20,139
03/22/2021,12.30,950197,13.41,13.44,12.12,140
03/23/2021,14.00,3630968,14.60,16.28,13.20,141
03/24/2021,12.64,594297,12.88,12.98,12.24,142
03/25/2021,13.58,1159178,14.11,14.27,12.40,143
03/26/2021,14.27,564513,14.00,14.88,13.72,144
03/29/2021,14.40,720938,13.71,14.90,13.02,145
03/30/2021,14.28,731775,15.15,15.15,13.88,146
03/31/2021,15.48,692866,15.60,16.40,15.00,147
04/01/2021,15.86,1294347,16.27,16.27,14.49,148
04/05/2021,16.04,741478,16.84,16.84,15.60,149
04/06/2021,16.69,1304786,18.94,19.08,16.40,150
04/07/2021,18.45,1136935,18.78,19.92,18.22,151
04/08/2021,19.58,1960306,20.74,21.80,19.35,152
04/09/2021,20.61,5447928,16.52,21.89,16.44,153
04/12/2021,16.88,1196796,16.12,17.60,16.00,154
04/13/2021,16.19,1128050,16.00,17.20,16.00,155
04/14/2021,15.94,1962823,15.56,17.56,15.20,156
04/15/2021,15.60,1242691,16.00,16.80,15.49,157
04/16/2021,16.60,1873931,15.78,16.92,14.40,158
04/19/2021,16.00,1181952,16.27,16.73,15.46,159
04/20/2021,16.96,1362177,16.72,18.76,16.58,160
04/21/2021,17.37,2067933,17.80,17.80,15.36,161
04/22/2021,18.40,2279079,19.64,21.51,18.00,162
04/23/2021,20.26,4941090,21.26,23.90,18.32,163
04/26/2021,24.00,14392420,24.61,27.60,20.00,164
04/27/2021,18.34,16650140,12.12,24.00,11.81,165
04/28/2021,10.60,4594133,8.75,11.80,8.60,166
04/29/2021,13.04,3113890,15.28,15.33,10.99,167
04/30/2021,15.85,1098681,16.54,17.12,15.26,168
05/03/2021,16.27,1560566,18.75,18.80,16.00,169
