Date,Close/Last,Volume,Open,High,Low,Day
07/12/2021,"138,433.38",78,"144,961.45","144,975.85","138,241.38",909
07/13/2021,"133,249.33",156,"138,529.39","141,505.42","125,569.26",908
07/14/2021,"127,393.27",101,"131,521.32","133,107.25","125,761.26",907
07/15/2021,"119,041.19",150,"127,969.28","132,097.32","116,881.17",906
07/16/2021,"127,297.27",141,"120,961.21","133,249.33","120,961.21",905
07/19/2021,"130,753.31",169,"134,593.35","138,241.38","127,825.28",904
07/20/2021,"132,769.33",98,"136,225.36","136,225.36","131,137.31",903
07/21/2021,"132,289.32",146,"137,569.38","141,025.41","131,521.32",902
07/22/2021,"134,209.34",965,"161,665.62","163,201.63","123,937.24",901
07/23/2021,"142,273.42",677,"125,281.25","144,289.44","120,193.20",900
07/26/2021,"132,481.32",401,"139,681.40","140,737.41","129,121.29",899
07/27/2021,"109,921.10",672,"131,329.31","132,001.32","98,304.98",898
07/28/2021,"116,929.17",366,"114,337.14","119,617.20","107,041.07",897
07/29/2021,"112,321.12",138,"120,001.20","120,096.24","111,361.11",896
07/30/2021,"115,969.16",192,"111,914.08","119,425.19","111,914.08",895
08/02/2021,"128,641.29",277,"116,161.16","130,369.30","112,417.12",894
08/03/2021,"117,409.17",204,"125,665.26","127,537.28","115,489.15",893
08/04/2021,"119,329.19",97,"117,793.18","120,529.21","115,201.15",892
08/05/2021,"117,697.18",92,"118,753.19","121,633.22","116,929.17",891
08/06/2021,"114,049.14",93,"117,121.17","119,233.19","112,705.13",890
08/09/2021,"114,145.14",94,"114,049.14","116,833.17","112,137.76",889
08/10/2021,"120,961.21",159,"114,241.14","121,345.21","112,725.29",888
08/11/2021,"116,833.17",160,"119,041.19","120,961.21","113,377.13",887
08/12/2021,"109,057.09",174,"114,289.14","114,625.15","107,809.08",886
08/13/2021,"105,121.05",158,"109,057.09","112,129.12","103,681.04",885
08/16/2021,"95,232.95",391,"103,201.03","103,201.03","91,200.91",884
08/17/2021,"100,609.01",426,"99,581.80","100,609.01","92,448.92",883
08/18/2021,"97,824.98",124,"100,801.01","101,185.01","96,960.97",882
08/19/2021,"90,720.91",141,"96,000.96","97,440.97","90,432.90",881
08/20/2021,"88,512.89",170,"91,824.92","94,080.94","87,840.88",880
08/23/2021,"87,168.87",205,"88,128.88","90,144.90","85,248.85",879
08/24/2021,"93,408.93",160,"89,568.90","94,848.95","87,840.88",878
08/25/2021,"88,416.88",127,"92,256.92","93,984.94","88,320.88",877
08/26/2021,"86,208.86",162,"87,840.88","91,200.91","83,520.84",876
08/27/2021,"91,296.91",250,"88,320.88","94,944.95","88,320.88",875
08/30/2021,"91,200.91",122,"92,160.92","94,560.95","88,896.89",874
08/31/2021,"96,864.97",147,"91,584.92","97,152.97","91,200.91",873
09/01/2021,"96,960.97",157,"95,136.95","97,536.98","92,736.93",872
09/02/2021,"94,464.94",205,"96,096.96","98,784.99","93,312.93",871
09/03/2021,"104,065.04",421,"94,848.95","105,313.05","93,312.93",870
09/07/2021,"88,128.88",676,"105,601.06","105,601.06","87,840.88",869
09/08/2021,"85,728.86",236,"89,280.89","90,618.19","85,440.85",868
09/09/2021,"88,320.88",158,"87,936.88","90,048.90","86,688.87",867
09/10/2021,"86,016.86",127,"88,800.89","89,664.90","85,920.86",866
09/13/2021,"87,648.88",177,"86,016.86","87,744.88","84,480.84",865
09/14/2021,"87,360.87",171,"86,496.87","90,288.90","85,440.85",864
09/15/2021,"88,896.89",188,"86,688.87","90,816.91","86,688.87",863
09/16/2021,"96,192.96",317,"89,664.90","97,920.98","89,568.90",862
09/17/2021,"103,585.04",1101,"97,152.97","104,737.05","94,368.94",861
09/20/2021,"99,553.00",349,"99,360.99","102,145.02","96,960.97",860
09/21/2021,"100,609.01",344,"101,281.01","110,401.10","99,841.00",859
09/22/2021,"101,281.01",262,"105,889.06","107,905.08","100,609.01",858
09/23/2021,"102,433.02",156,"101,703.42","102,913.03","99,601.00",857
09/24/2021,"106,945.07",288,"102,241.02","107,521.08","102,049.02",856
09/27/2021,"97,632.98",246,"105,601.06","106,081.06","96,096.96",855
09/28/2021,"96,096.96",147,"96,384.96","97,536.02","95,520.96",854
09/29/2021,"91,200.91",160,"96,192.96","96,288.96","89,376.89",853
09/30/2021,"90,624.91",74,"91,968.92","92,160.92","89,568.90",852
10/01/2021,"86,784.87",180,"90,624.91","91,200.91","85,200.85",851
10/04/2021,"84,576.85",130,"87,168.87","88,032.88","84,480.84",850
10/05/2021,"78,624.79",246,"84,480.84","86,688.87","77,568.78",849
10/06/2021,"73,440.73",355,"78,432.78","78,432.78","71,040.71",848
10/07/2021,"80,640.81",315,"72,960.73","81,311.85","71,712.72",847
10/08/2021,"77,280.77",164,"79,680.80","79,872.80","75,264.75",846
10/11/2021,"79,008.79",128,"76,224.76","81,600.82","76,032.76",845
10/12/2021,"80,256.80",98,"78,336.78","80,832.81","75,936.76",844
10/13/2021,"79,296.79",139,"78,432.78","80,832.81","76,149.88",843
10/14/2021,"79,200.79",72,"77,760.78","79,776.80","77,760.78",842
10/15/2021,"84,384.84",197,"81,696.82","85,920.86","80,160.80",841
10/18/2021,"87,456.87",184,"84,192.84","90,720.91","83,712.84",840
10/19/2021,"89,472.89",83,"89,184.89","90,624.91","88,320.88",839
10/20/2021,"91,680.92",118,"89,856.90","92,544.93","89,088.89",838
10/21/2021,"86,784.87",177,"91,680.92","93,216.93","85,392.85",837
10/22/2021,"86,304.86",182,"84,672.85","91,538.84","84,672.85",836
10/25/2021,"86,592.87",147,"85,536.86","86,880.87","83,424.83",835
10/26/2021,"82,176.82",219,"85,536.86","85,872.86","80,448.80",834
10/27/2021,"78,624.79",166,"81,600.82","83,472.83","77,472.77",833
10/28/2021,"87,072.87",281,"79,200.79","88,032.88","76,896.77",832
10/29/2021,"82,368.82",120,"84,672.85","87,359.91","81,984.82",831
11/01/2021,"84,768.85",179,"85,056.85","87,725.68","82,848.83",830
11/02/2021,"82,944.83",258,"83,520.84","84,119.88","77,952.78",829
11/03/2021,"82,176.82",147,"81,792.82","87,072.87","81,792.82",828
11/04/2021,"80,256.80",168,"83,232.83","83,472.83","79,008.79",827
11/05/2021,"83,712.84",205,"81,216.81","84,000.84","77,856.78",826
11/08/2021,"81,792.82",161,"85,344.85","86,208.86","81,600.82",825
11/09/2021,"80,544.81",169,"83,040.83","83,712.84","78,624.79",824
11/10/2021,"81,312.81",194,"79,968.80","84,288.84","77,856.78",823
11/11/2021,"81,504.82",139,"81,792.82","84,768.85","81,120.81",822
11/12/2021,"81,600.82",254,"82,368.82","86,208.86","80,832.81",821
11/15/2021,"87,456.87",411,"82,272.82","88,512.89","80,832.81",820
11/16/2021,"84,768.85",322,"82,080.82","86,976.87","81,888.82",819
11/17/2021,"81,024.81",232,"84,384.84","84,384.84","79,488.79",818
11/18/2021,"78,336.78",234,"80,736.81","83,040.83","76,800.77",817
11/19/2021,"75,648.76",240,"78,144.78","79,680.80","74,352.74",816
11/22/2021,"68,832.69",358,"76,512.77","76,512.77","67,872.68",815
11/23/2021,"63,072.63",441,"69,120.69","69,449.97","61,440.61",814
11/24/2021,"60,960.61",517,"59,904.60","63,456.63","56,256.56",813
11/26/2021,"59,232.59",206,"57,792.58","59,808.60","56,448.56",812
11/29/2021,"58,752.59",215,"62,640.63","62,976.63","58,560.59",811
11/30/2021,"59,040.59",437,"57,984.58","60,096.60","54,720.55",810
12/01/2021,"63,168.63",263,"58,656.59","64,896.65","57,312.57",809
12/02/2021,"63,168.63",163,"62,304.62","63,840.64","59,808.60",808
12/03/2021,"54,816.55",256,"61,920.62","62,784.63","54,336.54",807
12/06/2021,"50,688.51",324,"52,896.53","53,280.53","48,000.48",806
12/07/2021,"53,376.53",165,"51,456.51","54,720.55","51,456.51",805
